Study_Hours,Attendance,Attitude_Score,Final_Grade
6,61,5,47
3,83,1,66
7,82,1,66
4,97,3,73
6,72,2,60
9,73,5,69
2,86,6,72
6,84,7,67
7,93,4,86
4,89,7,72
3,71,8,44
7,76,1,99
7,84,6,87
2,50,8,58
5,84,5,43
4,86,4,74
1,96,2,88
7,63,6,56
5,52,6,83
1,50,1,67
4,54,9,69
0,75,6,68
9,63,3,85
5,88,4,92
8,76,4,45
0,58,3,74
9,64,3,99
2,64,3,80
6,75,4,76
3,91,7,63
8,62,4,68
2,81,9,88
4,88,1,85
2,98,8,92
6,81,7,70
4,53,2,74
8,79,8,99
6,86,1,72
1,72,9,91
3,88,9,60
8,94,2,71
1,64,7,62
9,92,3,72
8,78,7,42
9,85,9,57
4,62,4,64
1,81,1,81
3,56,2,70
6,71,1,93
7,77,5,97
2,51,5,42
0,91,7,79
3,94,9,85
1,55,9,63
7,77,3,89
3,77,3,71
1,93,3,86
5,93,4,61
5,69,8,62
9,79,6,41
3,60,8,66
5,77,1,81
1,74,8,41
9,88,4,65
1,82,1,56
9,50,8,79
3,76,4,72
7,62,6,48
6,90,8,82
8,52,4,93
7,88,3,87
4,55,9,78
1,57,3,68
4,76,9,81
7,58,2,94
9,86,2,65
8,82,2,74
8,91,6,89
0,93,3,64
8,73,9,63
6,64,4,52
8,81,1,99
7,81,4,97
0,73,1,46
7,90,5,96
7,98,4,75
2,98,8,84
0,61,8,59
7,88,7,40
2,51,3,47
2,52,1,85
0,98,1,55
4,86,3,53
9,98,6,51
6,66,7,90
9,98,6,62
8,51,6,54
6,51,6,67
8,77,3,73
7,72,6,41
